Tweet ID,Text,Username,Time,Location
1327974448633409536,"RT @aravosis: The Washington Post reports that Trump hasn’t been to a coronavirus task force meeting in five months, no longer receives an…",Lilliana17 📸 🦉🦅 💻📓📝,2020-02-03 00:00:00,USA
1327974492858093570,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",Real SNC News 🇺🇲,2020-02-03 00:00:00,USA
1327974535002460160,"RT @GregoryFegel: It's the COVID Lockdown Genocide—there's nowhere we can hide
The UN will decide who will live and who will die
The travel…",erik willey,2020-02-03 00:00:00,USA
1327974536923344897,"RT @DattatreyaDash: @OpIndia_com #AntoniaMaino must be Concerned
https://t.co/v1yZamcKd5",The Satya Narayan Barik (Detective),2020-02-03 00:00:00,India
1327974590891626498,"Philadelphia officials may ban indoor dining, impose other new restrictions as case numbers keep rising… https://t.co/641hSATslH",Digby Dee,2020-02-03 00:00:00,USA
1327974608130043907,RT @AusHCIndia: The @RSSorg has been actively supporting the community during #COVID19. I met with Sarsanghchalak Dr Mohan Bhagwat who shar…,NARENDER Koli,2020-02-03 00:00:00,India
1327974624370458624,#Help him plz 🙏🏽 @CMODelhi @MoHFW_INDIA #COVID19 #coronavirus #Delhi #Gurugram #Noida,Vikas Kaushik,2020-02-03 00:00:00,India
1327974650635161600,"RT @sunilkapoor8: Hey #Delhi Hope you enjoyed #CRACKERS .

#NGT ki Li ?? 

#Firecrackers case? Contact free help👇
#MotaBhai active to help…",कुसुमान्जलि सिंह 🇮🇳,2020-02-03 00:00:00,India
1327974657241341954,RT @jsolomonReports: U.N. food group warns of ‘Biblical’ famines in 2021 | Just The News https://t.co/oKgzI64cgN,"A TRUE VISIONARY, TRUMP !",2020-02-03 00:00:00,USA
1327974658025598976,RT @DrEricDing: THIS IS BRILLIANT. Hilarious German 🇩🇪 government ad on how to fight the Great War of 2020. #COVID19 https://t.co/TDqUCNTHK5,Biden won fair and square,2020-02-03 00:00:00,USA
1327974670562439168,Be a hero - stay at home this holiday season! #MaskUp #COVID19,dr_rachel_franklin,2020-02-03 00:00:00,USA
1327974675591421953,"RT @PeteMoring: #WakeUP  before @BorisJohnson puts you to #Sleep ... for GOOD!! .... But in a BAD way :-(
#Poverty #KILLS ... 
#Lockdown is…",erik willey,2020-02-03 00:00:00,USA
1327974681601847296,RT @CTVNews: Why are pharmaceutical executives selling shares in their companies as they announce progress toward COVID-19 vaccines? https:…,Linda Choquette,2020-02-03 00:00:00,Canada
1327974718406877186,"RT @marklevinshow: 1. The media are reporting that coronavirus cases are spreading big-time.  I guess that means Fauci, et al, blew it.  Pe…",Rebecca Lynn,2020-02-03 00:00:00,Canada
1327974728947159047,Five civilians were killed due to Indian shelling on the Line of Control Kashmiri border between Pakistan and India… https://t.co/H91h9y5T10,Stenopost,2020-02-03 00:00:00,Pakistan
1327974740938481670,"How Coronavirus (#COVID19) Is Impacting #Ecommerce [November 2020] via @ROIRevolution

- Impact on holiday shopping… https://t.co/rblC9a0Kzj",eComKeeda,2020-02-03 00:00:00,India
1327974749562081280,"RT @IWasHrren: When Corona is treated EARLY, with HCQ+Zinc, it is more effective  than 90%
Yale epidemiologist says hydroxychloroquine coul…",Deborah S,2020-02-03 00:00:00,USA
1327974773746524161,RT @DrEricDing: THIS IS BRILLIANT. Hilarious German 🇩🇪 government ad on how to fight the Great War of 2020. #COVID19 https://t.co/TDqUCNTHK5,Lorenna “bipolarlioness” Cleary,2020-02-03 00:00:00,USA
1327974773754916864,The Labour Force Survey is now underway. Help us measure the impact of #COVID19 on the current state of the Canadia… https://t.co/m1ybxaJM6J,Statistics Canada,2020-02-03 00:00:00,Canada
1327974786232971264,RT @nhannahjones: They are being paid $2 an hour. https://t.co/q12I5zeb7s,"🍂☔ Squinty, official ANTIFA necromancer🌹🏴🏳️‍🌈",2020-02-03 00:00:00,Norway
1327974789709959173,How about F NO!,FitPatriotUSA,2020-02-03 00:00:00,USA
1327974792121749504,"RT @CTolduso: Dying. People are dying. One person every 43 seconds. Accomplished? Genocide by Inaction. Mask up, Trump. Go on TV now and ad…",erik willey,2020-02-03 00:00:00,USA
