1327974448633409536,RT The Washington Post reports Trump coronavirus task force meeting five months longer receives,Lilliana17 📸 🦉🦅 💻📓📝,2020-02-03 00:00:00,USA
1327974492858093570,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,Real SNC News 🇺🇲,2020-02-03 00:00:00,USA
1327974535002460160,RT It COVID Lockdown Genocide nowhere hide The UN decide live die The travel,erik willey,2020-02-03 00:00:00,USA
1327974536923344897,RT AntoniaMaino must Concerned,The Satya Narayan Barik (Detective),2020-02-03 00:00:00,India
1327974590891626498,Philadelphia officials may ban indoor dining impose new restrictions case numbers keep rising,Digby Dee,2020-02-03 00:00:00,USA
1327974608130043907,RT The actively supporting community COVID19 I met Sarsanghchalak Dr Mohan Bhagwat shar,NARENDER Koli,2020-02-03 00:00:00,India
1327974624370458624,Help plz COVID19 coronavirus Delhi Gurugram Noida,Vikas Kaushik,2020-02-03 00:00:00,India
1327974650635161600,RT Hey Delhi Hope enjoyed CRACKERS NGT ki Li Firecrackers case Contact free help MotaBhai active help,कुसुमान्जलि सिंह 🇮🇳,2020-02-03 00:00:00,India
1327974657241341954,RT food group warns Biblical famines 2021 Just The News,"A TRUE VISIONARY, TRUMP !",2020-02-03 00:00:00,USA
1327974658025598976,RT THIS IS BRILLIANT Hilarious German government ad fight Great War 2020 COVID19,Biden won fair and square,2020-02-03 00:00:00,USA
1327974670562439168,Be hero stay home holiday season MaskUp COVID19,dr_rachel_franklin,2020-02-03 00:00:00,USA
1327974675591421953,RT WakeUP puts Sleep GOOD But BAD way Poverty KILLS Lockdown,erik willey,2020-02-03 00:00:00,USA
1327974681601847296,RT Why pharmaceutical executives selling shares companies announce progress toward vaccines https,Linda Choquette,2020-02-03 00:00:00,Canada
1327974718406877186,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,Rebecca Lynn,2020-02-03 00:00:00,Canada
1327974728947159047,Five civilians killed due Indian shelling Line Control Kashmiri border Pakistan India,Stenopost,2020-02-03 00:00:00,Pakistan
1327974740938481670,How Coronavirus COVID19 Is Impacting Ecommerce November 2020 via Impact holiday shopping,eComKeeda,2020-02-03 00:00:00,India
1327974749562081280,RT When Corona treated EARLY effective 90 Yale epidemiologist says hydroxychloroquine coul,Deborah S,2020-02-03 00:00:00,USA
1327974773746524161,RT THIS IS BRILLIANT Hilarious German government ad fight Great War 2020 COVID19,Lorenna “bipolarlioness” Cleary,2020-02-03 00:00:00,USA
1327974773754916864,The Labour Force Survey underway Help us measure impact COVID19 current state Canadia,Statistics Canada,2020-02-03 00:00:00,Canada
1327974786232971264,RT They paid 2 hour,"🍂☔ Squinty, official ANTIFA necromancer🌹🏴🏳️‍🌈",2020-02-03 00:00:00,Norway
1327974789709959173,How F NO,FitPatriotUSA,2020-02-03 00:00:00,USA
1327974792121749504,RT Dying People dying One person every 43 seconds Accomplished Genocide Inaction Mask Trump Go TV ad,erik willey,2020-02-03 00:00:00,USA
1327974812069879811,RT It administration less year enough coronavirus vaccines immuni,Come on MAN!!!,2020-02-03 00:00:00,USA
1327974854381940737,RT More oxygen cylinders High Flow Nasal Cannula necessary equipments made available Delhi Government Cent,सनातनी ( आर्यावर्त),2020-02-03 00:00:00,India
1327974864938881024,RT More oxygen cylinders High Flow Nasal Cannula necessary equipments made available Delhi Government Cent,God,2020-02-03 00:00:00,India
1327974892029894662,RT Dedicated teams visit private hospitals Delhi inspection availability COVID19 medical infra,God,2020-02-03 00:00:00,India
1327974900347392005,RT Doug Ford betrayed us He lied advice receiving based failed plan political advice,Fandramon ~ New phone!,2020-02-03 00:00:00,Canada
1327974901924433921,RT While 130 Secret Service agents quarantined due coronavirus four stuck shopping Tiffany Trump Wo,Patty Brown,2020-02-03 00:00:00,USA
1327974939949936641,RT It administration less year enough coronavirus vaccines immuni,KottonKing,2020-02-03 00:00:00,USA
1327974974859120641,RT Donald Trump attended coronavirus task force meeting least five months said one senior administration,Patricia Lee,2020-02-03 00:00:00,Canada
1327975003887783936,DONT T BUY INTO THIS FEAR MONGERING BULL,LilMissRealist,2020-02-03 00:00:00,Canada
1327975008761765890,Art beginning end like rainbow like life goal Agam Follow,theBULLYexposed,2020-02-03 00:00:00,USA
1327975019109113856,Transitioning events presents number unique challenges particularly widespread crisis eve,GlobalLogic Inc.,2020-02-03 00:00:00,USA
1327975031817859073,RT Senator Rand Paul accused nation top infectious disease expert Dr Fauci glossing science w,@girlforce4⭐️⭐️⭐️,2020-02-03 00:00:00,USA
1327975044601896962,Anyway strict lockdown,BeTan⁷,2020-02-03 00:00:00,India
1327975065036742657,RT Blue states trying control Covid19 epidemics misunderstand utility school closures Many red,elenab,2020-02-03 00:00:00,USA
1327975076730269696,Are mad taking crucial steps avoid spread virus Please top personnel need understand,Nalini jain☁️,2020-02-03 00:00:00,India
1327975084170985473,RT Join Andolan campaign launched Prime Minister defeat COVID19 Unite2FightCorona TogetherAgains,Veeresh Biradar,2020-02-03 00:00:00,India
1327975096695148544,RT The actively supporting community COVID19 I met Sarsanghchalak Dr Mohan Bhagwat shar,Kumar Aditya 🇮🇳,2020-02-03 00:00:00,India
1327975116894916608,RT Urvashi ruling kollywood lockdown,M.Mahalakshmi💜,2020-02-03 00:00:00,India
1327975121856901123,RT THIS IS BRILLIANT Hilarious German government ad fight Great War 2020 COVID19,Claudia Rangel,2020-02-03 00:00:00,Canada
1327975126286024704,lockdown need hour people taking precautions,saransh,2020-02-03 00:00:00,India
1327975147211427840,RT People refuse wear masks outraged unable get ICU beds die hospital hallways But,Biden-Harris 2020,2020-02-03 00:00:00,USA
1327975151036628992,RT Translation Get ready locked Because lockdowns worked well Europe,President Elect I fight 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲,2020-02-03 00:00:00,USA
1327975154329251841,RT Tomorrow meeting Provincial Education Ministers discuss prevailing condition COVID 19 In opinio,Faheem khan,2020-02-03 00:00:00,Pakistan
1327975161174183938,Very enlightening The worst hit nations champions failed miserably respect,Ngamminlun Kipgen,2020-02-03 00:00:00,India
1327975173518094338,RT Practicing COVID19 appropriate behaviors wearing mask handwashing maintaining social distancing help win,Veeresh Biradar,2020-02-03 00:00:00,India
1327975214735446018,RT Did know You call NISHTHA Swasthya Vaani IVRS number Guna 9266021555 avail information,Veeresh Biradar,2020-02-03 00:00:00,India
1327975245614100481,RT Important name propaganda SARS severe acute respiratory syndrome simply name,Charley Workman,2020-02-03 00:00:00,Canada
1327975253323247618,RT It administration less year enough coronavirus vaccines immuni,vidar pedersen,2020-02-03 00:00:00,Norway
1327975254027808769,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,Come on MAN!!!,2020-02-03 00:00:00,USA
1327975261254557701,RT India rural wrestlers beaten coronavirus pandemic amazing pictures accompany,Subodh,2020-02-03 00:00:00,India
1327975263058071553,RT Just kind coordination like see lives citizens stake,Ashutosh Singhania🇮🇳,2020-02-03 00:00:00,India
1327975263112548354,RT Are mad taking crucial steps avoid spread virus Please top personnel need understand gri,𝚈𝙰𝙶𝚈𝙰 𝙰𝚁𝙾𝚁𝙰,2020-02-03 00:00:00,India
1327975274600833024,RT Trump need,Steve Hall,2020-02-03 00:00:00,USA
1327975337586778112,RT Anomalies must investigated If US Attys PA worse banana republi,President Elect McKraken,2020-02-03 00:00:00,USA
1327975339549728768,RT Gavyn Davies points failure many nations deal effectively coronavirus bodes ill abilit,Sandro Stealth,2020-02-03 00:00:00,Canada
1327975356620390400,RT 1 The media reporting coronavirus cases spreading I guess means Fauci et al blew Pe,C&JVeterans,2020-02-03 00:00:00,USA
1327975399440179201,RT Joe Biden Transition team already said going lockdown America weeks Too bad Election gettin,🇺🇸Freedom_MAGA (Acts 16:31)🇺🇸,2020-02-03 00:00:00,USA
1327975421502136320,3 English songs 2020 act one debut one unplanned released express feeling,StreAM.,2020-02-03 00:00:00,India
1327975426241798146,RT Operation Warp Speed create vaccine Trump lost The Coronavirus War February ha,Kimmee 🇨🇦🇺🇸🌊🐾🐈🐈🐕🐕🐕,2020-02-03 00:00:00,Canada
1327975434236162048,stand church come stand,Linda Kester,2020-02-03 00:00:00,USA
1327975464657293312,RT The actively supporting community COVID19 I met Sarsanghchalak Dr Mohan Bhagwat shar,Snehil Singh 🇮🇳,2020-02-03 00:00:00,India
1327975489361866755,China congratulates Biden Harris election one step closer total economic domination 666 BuyAndSell,Phillip N. Legg,2020-02-03 00:00:00,USA
1327975495829491712,RT crowning stupidity claim someone could without symptoms even pass,Lisa 🇨🇦🇺🇸,2020-02-03 00:00:00,Canada
